"Name","Created","Runtime","End Time","ID","Notes","State","Updated","Tags","batch_size","dropout","embedding_dim","hidden_dim","lang","n_layers","train_accuracy","train_loss","val_accuracy","val_loss"
"balmy-sweep-142","2022-01-25T22:01:43.000Z","62","2022-01-25T22:02:45.000Z","qu9u7hz0","-","finished","2022-01-25T22:02:45.000Z","","64","0.1","150","512","lt","3","0.9258271190001052","0.22878815233707428","0.8084609395276408","0.6121876984834671"
"azure-sweep-446","2022-01-26T06:59:37.000Z","101","2022-01-26T07:01:18.000Z","j2fr47tf","-","finished","2022-01-26T07:01:18.000Z","","64","0.1","250","256","en","3","0.9938167812069252","0.019521553432854007","0.9127962462223635","0.4391121678054333"
"avid-sweep-528","2022-01-26T09:38:35.000Z","33","2022-01-26T09:39:08.000Z","b9mn9mf4","-","finished","2022-01-26T09:39:08.000Z","","64","0.2","50","256","hy","3","0.8853817836361477","0.34784477180050266","0.8432543384959881","0.48589523136615753"
"avid-sweep-491","2022-01-26T08:30:53.000Z","16","2022-01-26T08:31:09.000Z","du93xj5a","-","failed","2022-01-26T08:31:09.000Z","","256","0.2","250","512","ar","4","","","",""
"avid-sweep-324","2022-01-26T03:25:44.000Z","25","2022-01-26T03:26:09.000Z","7sm3xddv","-","finished","2022-01-26T03:26:09.000Z","","128","0.1","150","64","lt","4","0.8082134229597732","0.6231226952452409","0.7425382818582923","0.8019056677818298"
"avid-sweep-292","2022-01-26T02:34:51.000Z","26","2022-01-26T02:35:17.000Z","3bbhf8k1","-","finished","2022-01-26T02:35:17.000Z","","256","0.1","50","256","hy","3","0.6255314095713098","1.1274782121181488","0.6628102257883933","1.016474962234497"
"avid-sweep-245","2022-01-26T01:22:45.000Z","47","2022-01-26T01:23:32.000Z","q7o49kfs","-","finished","2022-01-26T01:23:32.000Z","","128","0.2","200","512","af","4","0.47801970850297987","1.6580401225523516","0.5459845777694189","1.388514220714569"
"autumn-sweep-746","2022-01-26T15:36:26.000Z","94","2022-01-26T15:38:00.000Z","0pfv4kcw","-","finished","2022-01-26T15:38:00.000Z","","256","0.2","150","256","es","3","0.9671579035446454","0.10118389675127608","0.9435409485897374","0.18436075959886825"
"autumn-sweep-547","2022-01-26T10:06:17.000Z","149","2022-01-26T10:08:46.000Z","6visqz9s","-","finished","2022-01-26T10:08:46.000Z","","128","0.2","50","512","ar","3","0.966615453414389","0.10019129894825878","0.9406290910377524","0.1692914537021092"
"autumn-sweep-544","2022-01-26T10:01:53.000Z","20","2022-01-26T10:02:13.000Z","27hi51tf","-","finished","2022-01-26T10:02:13.000Z","","64","0.2","150","512","ta","4","0.289935218833939","2.1164883204868863","0.3119556611243072","2.0817750692367554"
"atomic-sweep-68","2022-01-25T20:02:45.000Z","80","2022-01-25T20:04:05.000Z","x5ig6z4z","-","finished","2022-01-25T20:04:05.000Z","","64","0.1","250","64","en","4","0.9767237249860694","0.08043418381819312","0.9066327342134564","0.35983260767534375"
"atomic-sweep-401","2022-01-26T05:54:31.000Z","101","2022-01-26T05:56:12.000Z","hzly2347","-","finished","2022-01-26T05:56:12.000Z","","64","0.2","250","256","ar","3","0.9930751417957698","0.020560642435532257","0.9394614867494604","0.2357528404547618"
"atomic-sweep-130","2022-01-25T21:34:10.000Z","64","2022-01-25T21:35:14.000Z","pxv4scal","-","finished","2022-01-25T21:35:14.000Z","","128","0.1","50","512","lt","4","0.5241046108602038","1.4632391364950883","0.5490959425555844","1.3354567289352417"
"astral-sweep-574","2022-01-26T10:51:39.000Z","43","2022-01-26T10:52:22.000Z","n3n8m88s","-","finished","2022-01-26T10:52:22.000Z","","128","0.4","250","512","hy","3","0.7404108775679848","0.7663113959133625","0.7960440380668035","0.6539247334003448"
"astral-sweep-379","2022-01-26T05:07:05.000Z","28","2022-01-26T05:07:33.000Z","rixcth0q","-","finished","2022-01-26T05:07:33.000Z","","256","0.4","50","256","af","3","0.4620286776420605","1.6568890611330669","0.569305999623848","1.4137630462646484"
"apricot-sweep-373","2022-01-26T05:00:53.000Z","23","2022-01-26T05:01:16.000Z","6ugz7x2w","-","finished","2022-01-26T05:01:16.000Z","","128","0.2","200","64","lt","3","0.859489549417078","0.4691597709530278","0.7912449173803963","0.6636023759841919"
"amber-sweep-741","2022-01-26T15:31:29.000Z","25","2022-01-26T15:31:54.000Z","bgvffvip","-","finished","2022-01-26T15:31:54.000Z","","256","0.2","150","256","hy","3","0.744305901911887","0.770094707608223","0.7755178204888972","0.7032467126846313"
